company,ticker,exchange,date,analyst_name,question,label
KKR & Co. Inc.,KKR,NYSE,2024-12-10,Alex Blostein,"Well, let's touch on the first one, I guess, and just bringing you to some of the current events. After the U.S. election, there's clearly been a lot of enthusiasm in the markets around what the new administration could mean for financial regulation but also as a byproduct that just the pace of activity in the marketplace. And the market seems to be obviously quite excited about that. KKR had already seen a pretty meaningful pickup in activity this year, which is how you guys deploy a lot of capital. Realizations started to pick up a little bit as well. How have your view pipelines have actually changed, if at all, post November election? And as you look out into 2025, maybe spend a couple of minutes how you're thinking about pace of capital deployment on both deploying and realizing?",
Main Street Capital Corporation,MAIN,NYSE,2024-11-08,Bryce Rowe,"Thanks. Good morning, all. Hey, I wanted to, Dwyane, maybe start on your commentary around the pipeline. Last quarter you had well above average comment. And it sounds like some of the lower middle market activity might have slipped here to the fourth quarter. Just wanted to make sure I'm kind of reading into that the right way. And then any commentary around the move from well above to above for lower middle market. And then within the private loan book going from well above to average.",
"Xtant Medical Holdings, Inc.",XTNT,NYSE,2024-11-12,Unidentified Analyst,"All right, thanks, guys. Thank you for taking the questions.",
Accenture plc,ACN,NYSE,2024-12-19,Bryan Keane,"Got it. Got it. That's helpful. And then maybe you guys could just talk a little bit about the industry group, the Financial Services. A lot of times, that kind of leads out of economic slowdowns. But it sounds like Banking & Capital Markets was a little bit softer, but some other areas of strength and just trying to figure out where that is in the industry right now because we're kind of getting mixed messages from some of the other IT service providers. Thanks so much.",
"Darden Restaurants, Inc.",DRI,NYSE,2024-12-19,Eric Gonzalez,"Okay, and then just also on the Never Ending Pasta Bowl, I think you talked about the strong performance, particularly those weeks that didn't compare against the prior year. So I'm just curious how the promotion played out during the quarter? Like how did it do once, with the longer promo period, how did it do once those easy last week’s kind of lapped last year?",
"Yext, Inc.",YEXT,NYSE,2024-12-09,Rohit Kulkarni,"Okay. And if I could ask, Mike, could you actually can provide your latest thinking on the breakdown in the rule of 40 kind of North Star that you have had given where you are with the revenue growth and profitability today, how do you expect over the next few quarters to approach the rule of 40?",
Cerence Inc.,CRNC,NASDAQ,2024-11-21,Aman Gupta,"Hi. Yes. Thank you for taking our questions. You have Aman Gupta on for Mark Delaney. First, I guess, last quarter, you guys provided a framework for fiscal '25 of kind of a flat to low-single digit decline for revenue year-on-year, excluding the legacy business and midpoint now is showing growth year-on-year. Can you kind of speak to maybe some of the puts and takes that drove that and what's driving some of that strength you're seeing?",
Star Bulk Carriers Corp.,SBLK,NASDAQ,2024-11-20,Clement Mullins,"Yes, that's very helpful. Thank you. Thank you for taking my questions.",
Wells Fargo & Company,WFC,NYSE,2024-11-09,Gerard Cassidy,"Yes. Maybe moving on to the CSBB group at Wells Fargo, after many years of no growth, it’s now grown – you’ve grown checking accounts for 3 consecutive quarters. The debit card market share is starting to increase as well. Can you talk about the consumer banking strategy? And what are some of the changes you’ve made more recently to drive this growth?",
Fluor Corporation,FLR,NYSE,2024-11-08,Michael Dudas,"Thanks, Jim. That's encouraging to hear. My follow up is on NuScale. Maybe, David, two parts. One, David, your thoughts on such the lead that the technology has over competitors, certainly, which has been better documented. When do you think in the United States, one of those will be up and running? Maybe a little estimate on that front. Has that happened before or after, say Romania? And then given the excitement and the valuation of NuScale and certain things have changed dramatically in the - versus say, six to 12 months ago when you were starting this process, how do you about think about going forward, ownership having investment, balancing that versus monetizing and certainly rewarding shareholders for the patients in this as we move to the 2025 plan?",
Lennar Corporation,LEN,NYSE,2024-12-19,John Lovallo,"That's really helpful. And then just as a follow up, I just wanted to go back onto to an earlier question just to make sure I understand the strategy here. The 10% growth in delivery that target was out there pre Rausch. You guys have maintained that at the high end, including Rausch. So I guess, the question is, if it were not for Rausch, would you have lowered that target? Or conversely, is Rausch just giving you sort of the opportunity to not push pace quite as hard in the existing communities and still get that same volume at perhaps a higher margin?",
LSI Industries Inc.,LYTS,NASDAQ,2024-11-08,Aaron Spychalla,"Just maybe last for me, on EMI, strong performance, good start there. Can you just kind of give some maybe early examples of some of the commercial synergies and just how you're thinking about those, and then also cost synergies with some of the margin expansion targets you've laid out there?",
"Woodward, Inc.",WWD,NASDAQ,2024-11-25,Scott Mikus,Okay. That makes sense. And then I have a question for Bill. You had the defense OEM growth that was really strong in the quarter. How much of that was driven by JDAMs because Boeing received a $7.5 billion order for JDAM tail kits in May. So I'm wondering if that drove the growth in the quarter. And how are you expecting the growth for guided munitions throughout fiscal '25?,
EnerSys,ENS,NYSE,2024-11-07,Brian Drab,"Okay, thanks. And then, can you just put a little bit of a finer point on what you're seeing in the communications market in telecom? Sounds like orders are picking up and I might have missed the growth rate in orders maybe sequentially. If you could give us an idea how much orders improved sequentially or year-over-year?",
Sezzle Inc.,SEZL,NASDAQ,2024-11-09,Charlie Youakim,"Exactly. Exactly. And that would be more apples-to-apples, that’s more in comparison to the $9-plus number in 2024.",
Spotify Technology S.A.,SPOT,NYSE,2024-11-12,Bryan Goldberg,"Okay. We've got another question from Kannan Venkateshwar on podcasting subscriptions. If podcasters like the New York Times use a paywall on Spotify to improve their yield, is there an opportunity for Spotify to share in that upside?",
Atkore Inc.,ATKR,NYSE,2024-11-21,Chris Dankert,"Got it. That's incredibly helpful color, thank you for that. And then forgive me if I missed it, but when we were looking at the $250 million of pricing gift back in the year, had you delineated it all, you know, PVC versus steel, just proportionally how we should think about each piece?",
Sohu.com Limited,SOHU,NASDAQ,2024-11-12,Alicia Yap,"I have a few questions. First is that in terms of the advertising outlook, have you seen any improvement in terms of the ad budget spend by advertiser entering fourth quarter? Do you think overall advertiser sentiment has improved slightly heading into the remaining of the year? And then given your guidance actually implying year-over-year decline is narrowing for your ad revenue guidance, is that what you are seeing is an improving trend and also possible if you could also resume positive growth as we enter 2025? Second question is on your gaming guidance versus your reported revenue. So in 3Q, you guided very conservatively and then yet you delivered a massive beat in third quarter, like $128 million. And then you guided 4Q again very conservative. So just what are the main reasons for you to guide conservatively? Which game performance that you have not factored into the guidance for 4Q? And then last question is it seems like it takes a little bit slow to execute your buyback, given the trading liquidity. Just wondering if management could think of any better way to enhance the return to shareholder. Or would you consider to speed up? Is there any way you consider to speed up the buyback in more shares in the shorter-term period?",
Grupo Cibest S.A.,CIB,NYSE,2024-11-08,Yuri Fernandes,"No. Perfect. Thank you very much, guys, and congrats.",
"Flexible Solutions International, Inc.",FSI,NYSE,2024-11-15,Dan O’Brien,"Well, each one is a separate segment. Some of the target areas we're looking at is, I can name them, not guarantee that these are things we're going to close, but we're engaged in sleep aids, we're engaged in products that could be utilized for hormone supplementation. We're looking at products that are the opposite of sleep aids, alertness products. So the wine product was one -- well, the one that got us started, and it's based on polyaspartates. So that's our internal decision. But what's coming to us in the other situations is contract manufacturing for people with other -- with ideas that they bring to us and problems that we solve for them. And essentially, what I mentioned to Mr. Gregozeski was, this one more iteration thing is a function of problem solving. When your business plan is to find customers who have problems that need to be solved, sometimes it just takes a little bit longer to get it to perfection.",
Pure Cycle Corporation,PCYO,NASDAQ,2024-07-11,John Rosenberg,"Okay. Thank you for that. And that is very enlightening. Just a quick housekeeping on that, though. What items would I -- would we see that in your statements? Because I'm not -- I can't identify any items in your income statement, nor cash flows where it looks like the payment back from the sales tax -- or, excuse me, from the assessed tax from the mill rate?",
Kimberly-Clark Corporation,KMB,NASDAQ,2024-12-03,Dara Mohsenian,"Great, that's helpful. So we talked about category growth. Maybe we could spend some time on market share trends. You touched on earlier, you've seen a rebound in share trends in the US. Can you give us some sense of what's behind that from your perspective? How sustainable that is as you look going forward? And then at the same time, global share doesn't seem to have moved as much. So international shares theoretically dropped off a little bit. I think that's driven by some specific markets. But I'd love to get an update internationally too as to what's occurring from a market share standpoint and similarly how that informs your forward outlook.",
US Foods Holding Corp.,USFD,NYSE,2024-11-07,Jake Bartlett,"Great. Thanks for taking the question. My first was just a clarification. I just want to make sure I have the trend right in terms of the near term and the cadence. So in the third quarter, organic independent case codes were 2.4. You're saying that that would have been roughly 3.4 without the impact of the hurricanes. Has the trend improved 100 basis points since that? So basically, you're running 4.4 in October. Is that the right way to think about it?",
"Rocket Companies, Inc.",RKT,NYSE,2024-11-12,Doug Harter,"Thanks. Just hoping we could talk about expenses and just take it from a different angle. Given the capacity you said of about $150 billion, is there opportunity given the outlook for volumes to take out fixed costs, even if that means, that that capacity comes down somewhat?",
PagSeguro Digital Ltd.,PAGS,NYSE,2024-11-14,William Barranjard,"Okay. Good. So thank you -- thank you for your time. My question here is regarding your client shift mix and how it affects your main sources of revenue, it's been like prepayments and transaction fees. So I understand that prepayment rates, they might shift, but trying to keep it constant and also keeping the allocation of part of these prepayments, right, as you shifted between the lines, but trying to make it all comparable. So as you increase your average tickets, you grow more on LMEC segments, and also as PIX are increasing penetration, are you becoming more transaction-dependent or more prepayment revenue-dependent, right? As you change it, as you shifted, how you consider that in your revenue lines? I guess, it's quite harder to understand this from where I'm sitting, but if you could elaborate on that would be great.",
Carrier Global Corporation,CARR,NYSE,2024-11-15,Timothy Wojs,"Great. Well, we're out of time, so please join me in thanking Carrier Global for being here today.",
"Inotiv, Inc.",NOTV,NASDAQ,2024-12-03,Matt Hewitt,"Got it. Okay. And maybe one last one for me and I'll hop back into the queue. But I just want to mesh a couple of comments. So, I think earlier in your prepared comments, Bobby, you had stated that the higher cost NHPs are going to impact gross margins for that segment in '25. And then, Beth, you commented that you're expecting RMS gross margins to improve over the course of '25. Is that kind of as you were just alluding to Bob, maybe first quarter, you've got some of that higher cost inventory that you have to kind of get through. Once you're through that, you should start to see some lift in gross margins over the remainder of the year. Am I hearing that correctly?",
"The Gap, Inc.",GAP,NYSE,2024-11-21,Connell,"Well, I think you know we don't disclose margins by brand. But overall, we're really proud of the margin progress as a company. We picked up the 140 basis points of margin in the quarter and we just guided to margins that will expand about 220 basis points versus prior year. I think it's important to note that, that reflects average unit retails that are above 2019 almost universally across our brands. And so we're really proud of the progress that we've made there. As we think about improving profitability going forward, we'll talk more about that. I think at the end of the day, we're really excited that the brand reinvigoration work that is happening is showing up in sales growth and market share gains. I think that's a really important part of overall profitability.",
Gogoro Inc.,GGR,NASDAQ,2024-11-14,Annie Liao,"I'll take an online question now. First one is on a steady state basis with the cost savings program from 2025, can Taiwan operations become double-digit margin business over the next couple of years?",
"The Cooper Companies, Inc.",COO,NASDAQ,2024-12-05,Young Li,"I guess to start I wanted to ask about the health of the consumer in key regions worldwide. You have a sizable private label business, so a wide range of pricing. Any incremental changes with the consumer price sensitivity daily adoption, trade-ups, trade downs and private label growth.",
"Phreesia, Inc.",PHR,NYSE,2024-12-09,Jared Haase,"This is Jared on for Ryan Daniels. Balaji, maybe I just wanted to follow up from an earlier question on the network solutions side. And I think you mentioned having a little bit better visibility at this point with pharma customers on that network solutions business. Just wanted to clarify, I'm curious, is there anything in particular that's driving that? I assume that, that would mean sort of budgets are getting finalized a little bit earlier in the cycle. I'm wondering, do you think that's, I guess, a macro trend across the board for pharma or do you think there's something unique to Phreesia where maybe the platform is, I guess, moving up in priority relative to other tactics?",
Seadrill Limited,SDRL,NYSE,2024-11-13,Noel Parks,"Got it. Thanks. That's helpful perspective. And I mean, is it so I mean if customers then due to oil price or whatever are sort of deprioritizing steady operations by hanging onto a rig just based on their own capital discipline, is that sort of part of the shift that's happening then?",
"Etsy, Inc.",ETSY,NASDAQ,2024-12-09,Rick Patel,"So Josh, appreciate you being here. So you announced some pretty big changes to the leadership team. Just last week you announced a new role of Chief Growth Officer. You appointed a new CFO to backfill Rachel seat, who is riding off into the sunset. Much deserved. You announced the departure of your CTO, and you announced the reprisal of a dedicated CMO role. So lots going on here. Can you share more about the changes and why you think these changes were important to reignite growth?",
Amgen Inc.,AMGN,NASDAQ,2024-11-13,Q - Trung Huynh,"Okay. Very clear. If you have a look at that data, it looked like four out of the eight patients on the 420 mgs completed the study, it looks like one patient, in particular, drove the effect like perhaps a 10 times bigger effect for one patient only. Is that right to say?",
Nu Holdings Ltd.,NU,NYSE,2024-11-13,Neha Agarwala,"Hi, thank you for taking my question. Just a quick one on the provisioning level. When we go back to the 1Q numbers and the strong pickup in originations, which was the explanation for the strong pickup in the provisioning level, nominally speaking. When we look at this quarter, there was a very strong pickup, especially in personal loans, which grew 20% quarter-on-quarter. But the provisions grew only 6% quarter-on-quarter. So could you please explain what was different this quarter and why did we not see a stronger pickup in provisioning, whereas the origination was quite strong? And also the cost of risk sequentially remained largely stable. So there's probably some impact from shift in mix, but given the stronger growth in personal loans, I would expect cost of risk to go up. So if you could zoom in on that, that would be very helpful?",
Holley Inc.,HLLY,NYSE,2024-11-08,Joe Altobello,"Okay. Just one last one, if I could. It looks like you sold Detroit Speed. Can you speak to that? And are there other brands that you would look to sell?",
Johnson & Johnson,JNJ,NYSE,2024-11-18,Rick Wise,"All right. You must have been reading my next question because I was wondering, are there early stage companies in your VC portfolio already that potentially could find its way into your world or the reverse that -- now that in the future there's going to be more attention paid internally to help you and support your long-term growth or technology goals?",
"Mitek Systems, Inc.",MITK,NASDAQ,2024-12-16,George Sutton,"Got you. Finally, my compliments to Dave, when we look at operating expenses down $5 million quarter-over-quarter and service gross margins at an all-time high, [76%] (ph), I know that was hard work and that's why we're seeing the great results today. So, congratulations.",
"Archrock, Inc.",AROC,NYSE,2024-11-12,Doug Irwin,"Hey, thanks for the question. Maybe just to start with a follow-up on CapEx, you called out the increase this year being tied to TOPS, and I realize you're still working through the '25 budget, but I'm just curious how we should think about the right run rate for the business here moving forward, if you could maybe talk about some directional gateposts around '25?",
Olo Inc.,OLO,NYSE,2024-11-09,Bruce Goldfarb,"Great. Thank you. In terms of like technology, are there certain areas that you'd like to – is M&A focused on?",
"Sprinklr, Inc.",CXM,NYSE,2024-12-04,Arjun Bhatia,"Yes, right. From a more forward-looking perspective beyond fiscal '25, exactly.",
"EOG Resources, Inc.",EOG,NYSE,2024-11-13,Kalei Akamine,"We've got a couple of minutes here left. If anyone has a question, please raise your hand. We've got a Roving microphone in the room. And they'll come to you. Maybe as we wait for a question to materialize, I can ask you about M&A. So build versus buy has been sort of a market debate for EOG this year. Exploration success has sorted for your efforts, making this less of an issue more recently. But when you look at the U.S. and Canadian markets, do you see any resource themes that you think EOG should have more exposure to?",
"Ollie's Bargain Outlet Holdings, Inc.",OLLI,NASDAQ,2024-12-10,Edward Kelly,"Congrats as well, John, on a successful career there. My first question, can you -- I wanted to ask you about SG&A and labor. You made some changes around the workforce, full-time, part-time curious as to what you're seeing there, sort of like cost versus benefit. And then as we think about like going forward into '25 and beyond, are you still comfortable with the leverage point on SG&A at around a 1% comp? Or is that just kind of inching a little bit higher based upon some of the changes on labor?",
"Tempus AI, Inc.",TEM,NASDAQ,2024-11-09,Eric Lefkofsky,"I mean, it’s – the business is performing super well. But again, we are far more focused on long-term growth in that 25% range as opposed to short-term accelerants that when we lap make the business highly volatile. We want long-term growth given how big the space is and given the unique position we hold in the space as really one of the leading companies bringing AI to health care and bring particular diagnostics.",
"Tenax Therapeutics, Inc.",TENX,NASDAQ,2024-11-15,Seamus Fernandez,Were there any subsets that were in that study that makes sense or would have been helpful in kind of predicting a potential benefit or even an evaluation of the technology?,
National Grid plc,NGG,NYSE,2024-11-07,Pavan Mahbubani,"Hi, everyone. Good morning. Thank you for taking my question. I've got two please. Firstly, can you remind us when you will be submitting your business plan for the RIIO-ED3 period? And is there any early flavor you can give on what we should be expecting especially when it comes to the mix of CapEx, how you're thinking about baseline versus uncertainty and how that ties into your five-year frame? And then my second question is on any comment you have on the outcome of US elections? And do you expect this to change your plans for US investment to 2029? Thank you.",
Ligand Pharmaceuticals Incorporated,LGND,NASDAQ,2024-11-08,Unidentified Analyst,"Good morning. This is Shao on for Balaji. Thanks for taking our question. And just a follow-up question on FILSPARI. So as Paver is preparing supplemental NDA for FSGS, wondering if FSGS is already factored into the 18% CAGR that's like you highlighted earlier, all the only like the current indication, IgAN is already factored in? Thank you.",
Ellington Credit Company,EARN,NYSE,2024-11-13,Jason Weaver,"And then maybe related to it exactly, assuming today, if you had certainty about the shareholder vote being supportive, to liquidate the agency portfolio seems relatively straightforward. But what does the timeline look like to move that capital into new CLO equity?",
Nutex Health Inc.,NUTX,NASDAQ,2024-11-08,Bill Sutherland,"Good. Good quarter. I wanted to think about the fourth quarter a little bit, thinking about the seasonality as you're seeing it, the timing of the two new hospitals and particularly interested in kind of how you're seeing patient visits in the fourth quarter. I think you get some positive seasonality as I recall.",
IceCure Medical Ltd,ICCM,NASDAQ,2024-11-26,Anthony Vendetti,"So I want to talk about first the US and then Japan. Based on the nine to five AdCom meeting both for in favor for ProSense. In your discussions with the FDA, is it likely -- have they given you guidance that they would likely make a decision before the end of March, could it be soon or could it be later? And then in Japan, I know you mentioned in the press release that you expect Terumo, your partner to file for regulatory approval in 2025. Is that in the first half '25, second half of '25? And then what's the approval process there once they file for approval?",
"MIND Technology, Inc.",MIND,NASDAQ,2024-12-11,Tyson Bauer,"And because a couple of years ago, the bigger competitor dropped out of the industry, this really is your ball of field here.",
"Mama's Creations, Inc.",MAMA,NASDAQ,2024-12-16,Anthony Vendetti,"I appreciate the color. I'll hop back in the queue. Yes, no problem. Thanks.",
"Dropbox, Inc.",DBX,NASDAQ,2024-11-07,Rishi Jaluria,"Wonderful. Thanks so much for taking my questions. Maybe I want to ask a dual-pronged one still sticking with Dash. The first part -- and these are both related, but the first part is, maybe help us understand this is a competitive space. You've got well-funded venture-backed companies that are achieving real scale in this. What do you feel uniquely gives Dropbox a right to win, especially at the enterprise level, which is where arguably the biggest TAM in this is? And then the second part to that is, Drew, you're making a really big bet on the future of the company and understand that, right? I mean that's what the history of entrepreneurship is rife with. What -- I guess, number one, what gives you confidence that this opportunity can materialize? And number two, what's kind of the contingency plan or thought process if just the demand for Dash and for these new growth drivers don't materialize the way that you think they will? Thank you.",
"Dycom Industries, Inc.",DY,NYSE,2024-11-20,Frank Louthan,"Okay. Thank you. And as far as some of these AI builds that you're seeing, is relative to maybe a few months ago, are you seeing these be more substantially related to larger long-haul projects versus short spurs off of networks that we maybe have seen previously?",
Nexxen International Ltd.,NEXN,NASDAQ,2024-11-15,Laura Martin,"Those are super helpful. And Sagi, one for you. If you're going to delist basically offshore and be a NASDAQ-listed company, any thoughts about moving to U.S. GAAP out of IFRS at some point?",
"AutoZone, Inc.",AZO,NYSE,2024-12-10,Steven Forbes,"Then maybe as a follow-up, sticking with real estate, top focus area, ramping up store growth. You gave the targets in the past for sort of out year domestic and international stores per year. Any updates on how we should be reframing, or rethinking the curve, or the slope of new store openings?",
"Novavax, Inc.",NVAX,NASDAQ,2024-11-20,Roger Song,"And then move on to the COVID flu combo, understanding Sanofi can push forward with their own combo with your COVID plus their flu. That's out of your hands. They're going to take a lead on that. But you also have your own flu COVID combo about to enter the Phase 3. Recently, you just removed the clinical hold partial clinical hold on the -- clinical hold for that program. So, what are the gating factor before you can start a Phase 3 for your COVID flu?",
Samsara Inc.,IOT,NYSE,2024-12-05,Derrick Wood,"Great. Thanks guys. I guess, a high-level question on the video safety market for you, Sanjit. I mean, Video Monitoring has certainly become more prevalent. I know it's still an early market. But just, is there more market acceptance by drivers with driver-facing cameras and does this make it easier to sell and kind of drive more greenfield conversion in this market? Just would love to hear an update there?",
"Creative Realities, Inc.",CREX,NASDAQ,2024-11-13,Jason Kreyer,"Okay. Thank you. I want to pivot over to Will. You've had a really nice uptick in profitability over the last couple of quarters, and that's happened even in light of what we just talked about, where some deals may not be coming in on the timing that you had expected. So, curious if you're thinking differently about the long-term profit in the model, just given you're already hitting that mid-teens EBITDA margin on a lower base of revenue than expected.",
"Flexible Solutions International, Inc.",FSI,NYSE,2024-11-15,William Gregozeski,"Okay. On the balance sheet, the total debt has been increasing as has the cash. Do you plan to leave both of those there to have the cash for opportunities or might start paying the debt down faster?",
"FTC Solar, Inc.",FTCI,NASDAQ,2024-11-12,Yann Brandt,"Sure. Thanks for the question. This is Yann. About 70% of our signed purchase orders today are in the 1P category, so we’re going to start seeing revenues come in from the 1P category. As I mentioned in the prepared remarks, it’s part of the inflection point that we’re starting to see. About 16% and 18% in Q2 and Q3 came from the 1P category, and that’s going to continue to grow over time as those projects get to the start of construction. The feedback on the 1P has been excellent. As I mentioned, I’ve been visiting with a lot of EPCs, the contractors that have to install it, as well as the investors that are going to own the project. There are some key features that make the system easier and faster to install, as well as safer. It’s an advantage of being the last 1P product to the market is that our team was able to build innovations on top of the products that were in the market, working hand in hand with potential customers to drive those innovations. The category that’s interesting about FTC’s 1P product is that it’s not just a monolithic piece, I mentioned, we have the high wind solutions all the way up to 150 mile an hour. Especially with growth in solar in the Southeast and obviously the expansion of where hurricanes are hitting, we have some trade following features. So it’s not just the individual aspects of the product, but also how wide the product portfolio can span, which allows us to increase our share of wallet with customers regardless of where they’re investing.",
"indie Semiconductor, Inc.",INDI,NASDAQ,2024-11-07,Donald McClymont,"In terms of the geographic split in the backlog, we have won a lot of business which is U.S. and European based, also some in Japan and Korea. The China business, we also have wins in there. But the larger programs which span multiple product lines within OEMs and tier 1s is more centric outside of China. So it's – I mean it's probably 80% of it is outside. And then what was the second half of the question? Sorry, Tony.",
Hudbay Minerals Inc.,HBM,NYSE,2024-11-13,Orest Wowkodaw,And what -- can you give us any kind of insight in terms of what gold grade you're anticipating for Dexter in Manitoba?,
"Dropbox, Inc.",DBX,NASDAQ,2024-12-03,Taylor McGinnis,Perfect. Super helpful color. Maybe shifting to margins. So you announced the RIF that impacted approximately 20% of the workforce. So can you quantify how that's being factored into the 150 basis points of margin expansion in 2025? What level of savings are being realized? How much is being reinvested back into the business?,
"Mersana Therapeutics, Inc.",MRSN,NASDAQ,2024-11-13,Yige Guo,"Got it. That's very helpful. And then second question, there was a poster at last year's ASCO discussing optimal sequencing of SN-38 and DXd-ADC in breast cancer patients. Just wondering, is there any preclinical rationale or even clinical observations suggesting optimal sequencing of Dolasynthen and TOPO1 ADCs?",
"Bionano Genomics, Inc.",BNGO,NASDAQ,2024-11-13,Mark Massaro,"Okay, that's helpful. And then I wanted to ask about the guidance, the reduction of the guidance here again. Maybe can you walk me through some of the components. I understand that if you place fewer systems, there will be fewer, less capital equipment revenue realized in the quarter, if that makes sense. I just wanted to ask about the other line items and the other product categories. In Q3, you had really solid 27% growth in flow cells. I'm just curious how we should think about the rest of the business. And as we think about 2025, are you confident that you can generate growth in flow cells and consumables?",
"NetApp, Inc.",NTAP,NASDAQ,2024-11-21,Jason Ader,"Yeah. Thanks. Good afternoon. George, I wanted to ask you about any potential ripple effects that you guys are seeing from the Broadcom-VMware acquisition. Specifically on storage projects just as customers maybe have less budget or, look to reevaluate their on-prem infrastructure plans and strategies?",
"Cogent Communications Holdings, Inc.",CCOI,NASDAQ,2024-11-07,Nick Del Deo,"Okay, okay, that's helpful. And I thought it was interesting that you noted there was more interest in long-term leases rather than outright sales for the larger facilities. I guess? If that plays out, would you then be inclined to sell the stabilized leased facilities, maybe the buyers looking for those sorts of income streams? I'm just kind of thinking about whether Cogent would fetch an appropriate market multiple for that income stream, if it's buried into the rest of the business or if it's best to be held outside of the REIT structure?",
Brady Corporation,BRC,NYSE,2024-11-18,Steve Ferazani,"That's great. And if I get one more in, just who the customer base is for the i5300 and the plan with that? It sounds like you're incorporating it with The Code technology. Tell me how that's going to work and who you're targeting?",
American States Water Company,AWR,NYSE,2024-11-07,Jonathan Reeder,So if you get a proposed decision that just fully adopts the settlement and that occurs before you got to file your 10-K then you might be able to you might feel comfortable booking it then as well?,
"RingCentral, Inc.",RNG,NYSE,2024-11-07,Damien Grangeon,"Thanks Vlad. And if I could just one more. How did the Microsoft Teams opportunities perform in 3Q compared to 2Q? And is this helping you land with larger customers? Also, is it helping pull through more Contact Center deals with RingCX?",
"Photronics, Inc.",PLAB,NASDAQ,2024-12-11,Tom Diffely,"Yes, good morning. Thank you for letting me to ask a few questions. Maybe first on the operating expenses, they were up quite a bit year-over-year and maybe just a little more detail on what it was the one-timers that impacted that?",
Global Partners LP Common Units,GLP,NYSE,2024-11-08,Selman Akyol,"Got it. And then last one for me. You talked about EV chargers and you're trying to finalize your first tranche. But I guess, can you talk about maybe a number of EV chargers you could see across your system? Anything from a high level?",
Synaptics Incorporated,SYNA,NASDAQ,2024-11-07,Kevin Cassidy,"Okay. Great. Thanks for that detail. Maybe for just a little more details, what are your end-market exposures as far, say, consumer, the IoT Wi-Fi in consumer maybe in the home, versus industrial? It seems in this earnings period that industrial has still been weak and maybe home is getting better. But I'd like to hear what you see is happening in the end-market.",
Biogen Inc.,BIIB,NASDAQ,2024-12-03,Umer Raffat,"So, Alisha, is there a world in which we could say 2,000 may have started? 1,500 are on it. So, you've kind of hit a close to 50% penetration already at some level. Because when I hear 50%, I'm thinking you're starting to get to an upper limit of what the realistic penetration could look like.",
