company,ticker,exchange,date,analyst_name,question,label
Soho House & Co Inc.,SHCO,NYSE,2024-12-19,Stephen Grambling,"And then I think I heard in this -- this has come up a couple of times, but you made a comment that the third quarter like-for-like in North America, I think, was weaker, then it's been choppy October, November time frame. And I think you touched on this a little bit, maybe I missed it. But just is there -- are there specific houses in the third quarter? Like when you put on a broader lens, what do you think has been driving some of that choppy behavior?",Alarmed
"Lamb Weston Holdings, Inc.",LW,NYSE,2024-12-19,Alexia Howard,"Can I turn to the demand side of the equation? We've talked a lot about capacity and competitors this morning. What is your research telling you about the reasons for the weak consumer demand? And I imagine the reasons might be quite different between U.S. and Europe. And specifically, are you seeing any impact at the moment about on the uptake of GLP-1 weight loss drugs, particularly here in the U.S.? I'm just wondering how that informs your expectations about an improvement in demand going forward? And then I have a follow-up. Thank you.",Alarmed
Ark Restaurants Corp.,ARKR,NASDAQ,2024-12-17,Jeffrey Kaminski,"Right. Okay. All right. Fair enough. And then second question, with respect to -- Mike, you had mentioned twice in this call, the stock price going back to when you negotiated the Tampa deal. And with respect to these write-offs, these impairment charges, again, tied into the stock price. Labor costs are what they are, they may have stabilized, but I don't see them. You may really disagree on and going down considerably. Insurance costs may stabilize maybe they won’t, but again I don’t see them coming down. So some of these headwinds exist in the future regardless. Food prices will be volatile, cost of crab, again, volatile. A question I have asked recurring here on these calls, as a shareholder, the share price -- it's hard to benchmark Ark Restaurants against other stocks, but there is a risk on ETF, there are restaurant and leisure indexes, if you will. By any benchmark, Ark stock has dramatically underperformed in years. So you talked about trying to acquire other properties. Right now, that doesn't seem to be happening. There was -- introduced to us probably six months ago, a new concept, the Asian concept that you're working on three months ago. You gave us a progress report. I asked then, if it's successful, what do you expect in terms of revenues and how you've been scaling up? Just looking for some tidbits here as to -- as a shareholder, what's going to drive the stock higher? What are we waiting for? I mean, are you waiting for another acquisition? Or we waiting for the Asian concept to keep up? Or do we think we're going to wake up one day and all of a sudden, labor costs are going to be down and insurance is going to be down? Just give us a little color and guidance as to what we can expect as shareholders?",Alarmed
Adobe Inc.,ADBE,NASDAQ,2024-12-12,Keith Weiss,"Excellent. All right. Thank you guys for taking the question. A lot of excitement from you guys on the conference call about the pace of innovation going on in the business, and we hear that excitement from creative professionals and they talk about an acceleration in the pace of innovation, but apologies to state the obvious, but investors aren't feeling that excitement or aren't showing that excitement. The stock is a major underperformer on a year-to-date basis and it's down again on an after-hours basis today. And I would point to it's the lack of acceleration that we're seeing in the numbers, right? Digital Media net new ARR this quarter grew just -- or in Creative Cloud grew 2%. You're guiding to decelerating growth into the forward year despite all this innovation. And I think the question that it brings up in investors' mind is there's some leak in the bucket, right? All this innovation, new monetization avenues, pricing going up, but the growth is going in the wrong direction. Like is there a part of the equation that's not working? Is there share losses? Is there something that we're not seeing that is taking away that momentum in the numbers that's not -- because we're not seeing the acceleration in the numbers, if you will?",Alarmed
Bank of Montreal,BMO,NYSE,2024-12-05,Darko Mihelic,"Hi, thank you. good morning. I'll be really quick. Piyush, with respect to the learnings and everything you sort of laid out for us in terms of trying to help us assess sort of what went wrong, can you maybe help size this for us? So, for example, if it's the 2021 vintage, there were a higher hold levels at that time, but what's the impairment of that portfolio? What's the size of that portfolio? And how should we think about the comfort level going forward? And I say this from a position of knowing that last year, you were comfortable going forward with credit quality. So, can you maybe size for us that vintage side -- the hold size that went wrong and how that's working through the system today and why that gives you comfort?",Alarmed
Bank of Montreal,BMO,NYSE,2024-12-05,Darko Mihelic,"Okay. And the 2022 vintage, why is there no concern with that vintage of loans?",Alarmed
"Nutanix, Inc.",NTNX,NASDAQ,2024-11-26,Nehal Chokshi,"Yes, thank you. And congrats on this really strong new logo up 50% year-over-year. That's really impressive. I'm trying to put though why is ARR decelerating given this strong land that you're seeing? And then if I look at the incremental ARR i.e. to change quarter-over-quarter for October quarter relative to the year ago quarter that was down a lot as well. So thoughts on why are there such a weak incremental ARR characteristics, especially given the backdrop that you're having such strong land metrics.",Alarmed
Dell Technologies Inc.,DELL,NYSE,2024-11-26,Toni Sacconaghi,"Yes, thank you. I'm just wondering I think last quarter you were the midpoint of your guidance for the year was $97 billion. Now the midpoint is $96.1 billion. And I'm wondering what has changed in terms of coming up weaker than your expectations, especially in light of the fact that it sounds like the AI pipeline is really strong. I think last quarter you said it was multiples of backlog, which would have put it at $11 billion to $13 billion. And you said it grew 50% sequentially. So are we looking at a backlog that's a pipeline, excuse me, that's like $16 billion or $17 billion. And why is that not informing a more optimistic view for Q4 than what you had 90 days ago? Thank you.",Alarmed
The J. M. Smucker Company,SJM,NYSE,2024-11-26,Robert Moskow,"Hi, thanks. I had a couple of questions about Hostess. One is, Mark, you mentioned that execution weakened. Can you give us a little more details on what aspect of that weakened and what caused it and how you can fix it? And then secondly, a broader question, I appreciate the plans to market Hostess more aggressively in first quarter '25, but are there any concerns internally about whether it might get drowned out? There's a lot of messaging from the new administration on Make America Healthy Again. I'm just wondering, is this the right time to be aggressively marketing indulgent snacks, and how do you think the consumer will receive it?",Alarmed
Elastic N.V.,ESTC,NYSE,2024-11-21,Howard Ma,"Great. Thank you. My question is for Janesh and/or Eric. So it sounds like you did not make up for the Q1 shortfall in customer commits in Q2, despite the bounce back. But when you factor in the acceleration in consumption trends, it sounds like maybe you were back on track with your revenue targets before the cut last quarter, and that you're just being a bit conservative with your back half assumptions. Is that true? Or maybe just asked another way, had you known you would achieve the Q2 performance that you did, both commits and consumption, would you still have lowered your full year guide last quarter?",Alarmed
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Katherine Griffin,Hi. Thank you. This is Katherine Griffin on for Sara. We wanted to ask to what extent would you attribute the softer performance in the quarter to the demand backdrop in California versus your own sort of share loss or relative underperformance? Thank you.,Alarmed
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Katherine Griffin,"No problem. I'll repeat it. Yeah, I just wanted to -- just trying to figure out the -- to what extent was the softer performance in the quarter a function of the broader demand backdrop in California versus your own share loss and relative underperformance?",Alarmed
Spire Inc.,SR,NYSE,2024-11-20,Bill Appicelli,"Hi, good morning, and congrats to Steve and Adam. I echo everyone else's sentiments there. Just wanted to dig into the, I guess, the Q4 results a bit. You guys had guided down full year earnings last quarter and then you came in a little bit light of the lowered expectations for the full-year. So I guess what happened there? Was it -- was it gas marketing? Was that -- I think you had modified that outlook to $27 million to $31 million for the full-year and you came in at $23 million. So was that what fell short of expectations in Q4 or can you share a little more color on that, please?",Alarmed
ZIM Integrated Shipping Services Ltd.,ZIM,NYSE,2024-11-20,Alexia Dogani,"Yes, hi, good afternoon. I had two questions. Just firstly very good to hear kind of the positive outlook that gives you the confidence to give some incremental special dividend near-term. What held you back from reversing the impairment you took last year? Because I believe that the impairment was driven by the kind of outlook of the market. Could you not reconsider that decision now that you suggest kind of things have improved more underlying? So that's my first question. And then secondly, can you just clarify, Xavier, what percent of your capacity is on this kind of smaller, less efficient vessels that could potentially come out in '25 should the market kind of turn out weaker? And then if I actually can ask one more. What are you hearing from your customers near-term? I mean is there scope for further inventory buildup into the first half of 2025 or kind of the duration kind of constrained the timing benefit of arriving in the US in the next couple of weeks? Thanks.",Alarmed
"Mitsubishi UFJ Financial Group, Inc.",MUFG,NYSE,2024-11-18,Ken Matsuda,"I am Matsuda from Daiwa Securities. I have two questions. First is about gain on sales of equity holdings and second is about your thinking behind this year's earnings. Regarding the first question, gain on sales, on Page 3 on FY'24 plans, looking at net operating profits and ordinary profits vis-a-vis initial targets, there seems to be positive $350 billion below net operating profits. Is this mostly gain on sales of equity holdings? In addition, if we look at the bar chart for this year, we can see that gain on sales of equity holdings are greater than the impact of the portfolio restructuring. But if larger gains on sale of equity holdings are included in the plan for this year, how should we think of the baseline for a gain on sales of equity holdings from next year onwards? My second question is on this year's profits. I think the macroeconomic environment is favorable due to the weak yen, and the FX assumption for the second half is JPY140. If profits are likely to be higher, thanks to the macro environment, are there any items that you can cut losses on? For example, I apologize for talking about other banks, but some banks have a recorded a lump sum provision for loss on interest repayment. Your group also has a subsidiary, ACOM. And I would like to know if you are considering similar costs for interest repayment or items where you can cut losses?",Alarmed
Grupo Aval Acciones y Valores S.A.,AVAL,NYSE,2024-11-14,Daniel Mora,"Hi, good morning and thank you for the presentation. I have three questions from our side. I would like to understand the first one. We have struck a clear downward trend in the consumer segment, but the commercial segment continues deteriorating. Why is the commercial segment taking longer than expected when compared to the consumer one? And I would like to understand if there is a particular sector showing even a more challenging scenario and when do you expect to see an improvement in this segment? That will be my first question. The second one is regarding NIM. I would like to understand if you can provide a further color regarding the NIM with and without the trading income. What was the strategy taken during this quarter that showed a strong improvement in the NIM of investment and should we consider this to be a one-off or can we expect a better performance going forward? And the last one in this question is can you repeat the guidance of the NIM for 2024 and 2025? Thank you so much. And the last one is regarding the loan program with the government. Can you repeat how much you have disbursed under this program and what are the conditions of these loans? Do they have a guarantee attached or a subsidy of interest rates? Thank you so much.",Alarmed
"Advance Auto Parts, Inc.",AAP,NYSE,2024-11-14,Unidentified Analyst,"That's helpful. Thank you. And then, just as a follow-up, so with the business comping down low single-digits, is this industry weakness or share loss and maybe it's a little bit of both? And can you help us think about the path back to positive territory moving forward?",Alarmed
Nu Holdings Ltd.,NU,NYSE,2024-11-13,Henrique Navarro,"Hi, thanks for the opportunity to make a question. I would like to do a follow up on the question on the growth mismatch between provisions and loans. I understand the rationale. You're changing the credit mix adding more secure personal loans. But my question is, if we look forward, the macro environment has been deteriorating. We have a higher estimates, et cetera. And under the expected credit loss provisioning model, we need to consider the macro environment to do our calculations. So my question is, what is the rationale for this behavior between provisions and loans? I mean, is there a risk that eventually you may need to reinforce provisions ahead? That's it. Thank you.",Alarmed
StoneCo Ltd.,STNE,NASDAQ,2024-11-12,Mario Pierry,"Hey, guys. Good evening. Congratulations on the quarter. I wanted to explore a little bit more exactly on the take rate and I think you answered part of that question -- in the previous question. But basically when we look at your MSMB take rates right like you were running at 2.58%, you were guiding for 2.49%. The mix has been weaker than expected given PIX. So why is your take rate higher than what you were expecting? Is it because you already started to implement higher prices for your clients? You said a lot, right, that the competitive environment is very rational or is it because the banking product is more profitable for you?",Alarmed
"Sunstone Hotel Investors, Inc.",SHO,NYSE,2024-11-12,Bryan Giglia,"Morning, Duane. Okay, so when we did the update in October, that was confined purely to the labor impact in San Diego. We didn’t provide anything else on the portfolio at that time because we were still within closing up the quarter and not seeing where everything was at that point. So that was that update. And Maui did underperform in Q3 and it continued into Q4 – and continues into Q4. And though it’s overall just a general leisure pickup has been slower in this market than some of the other markets. And when you look across the portfolio, our group is firing on all cylinders. Our business transient is doing very well. Leisure is kind of hit and miss where wine country, we’re seeing very promising results. And in other markets like Maui, Key West occupancy is there, but it’s a rate sensitive, it’s become a little bit more rate sensitive of market and Maui has struggled over the last couple of quarters. There is no relief business in there and we fully lapped that over last year. And so that’s not impacting anything now. The positive that we’ve seen in Maui, a couple things. One is that group picks up and group picks up very strong next year. We have some decent group in the fourth quarter, but 2025 and we’ve talked about this before, there’s a large group that’s on-island for two years and then off-island and this was an off-island year. So our group pace is very strong next year. The state of Hawaii has been putting money into some promotional campaigns for to promote Maui post-fire. We’re looking for to continue to do that. We’re getting great help from the brands and other distribution channels to help bring business back in there. The biggest positive we’ve seen recently is we’ve seen airline flights and seats declined steadily over or been down for over a year now. For the month of December where we’d actually seen that switch and so seats and flights are up about 5% and that mainly coming from the west coast. But that’s the biggest feeder market for Maui. And so that’s a big positive where we’ve seen, we actually see more lift going into the island. And I think where that’s – for the month of December, where that’s translated to is we’ve seen festive, very strong, festive is up, room nights significantly, rate is down. But it does allow the hotel to fill and allow the hotel to fill and do a few things, one, it gives it upsell opportunities. It has ancillary spending that’s very high at that hotel. And so total revenue is up for festive, room nights are up. And layering on top of that, our very strong pace for next year, gives us a lot more optimism as we look at Maui going forward.",Alarmed
Assured Guaranty Ltd.,AGO,NYSE,2024-11-12,Giuliano Bologna,"That's helpful. And maybe one last one. But looking at the TMS exposure, as most of the exposures are very low coupons and very long dated. I think obviously, you're only ensuring the time in pain principal interest. So the MTV factor there has a huge benefit that's on your side. I'm curious if there -- because of that duration in both coupon dynamic, if there could be anything similar to the old Cofina exposures or things like that or you might have the ability at some point to consider loss situation. But I realize that you probably have to see a lot more weakness flow through before that would even become something to consider?",Alarmed
Wave Life Sciences Ltd.,WVE,NASDAQ,2024-11-12,Q - Joon Lee,"Congrats on the progress and thanks for taking our questions. Looking down the road for INHBE, how do you envision registration trial to differentiate INHBE from GLP-1s from a labeling perspective? Specifically, at obesity, we clearly shared post op analysis of SURMOUNT-1, which showed about 11% mean body mass loss. How concerning is that from an ADL standpoint? And is that something the FDA may be noticing as a potential safety concern? Thank you.",Alarmed
UP Fintech Holding Limited,TIGR,NASDAQ,2024-11-12,Emma Xu,"[Foreign Language] So, congratulations on achieving the guidance ahead of schedule. The market conditions have been favorable since October, so could you please share the run rate for asset, for AUM, trading volume, revenue and profit, et cetera, since October? And on a quarter-over-quarter basis, the growth rate of your revenue exceeds that of profit without regard to the impairment losses of around US$13.2 million in the second quarter. So, how do you view the improvement in the operating efficiency and leverage?",Alarmed
Truist Financial Corporation,TFC,NYSE,2024-11-09,Terence McEvoy,"Maybe one more, just a question on credit, losses in consumer have stabilized and even come down in certain portfolios. So, how is the health of your consumer portfolio, and any specific areas of concern?",Alarmed
Sezzle Inc.,SEZL,NASDAQ,2024-11-09,Charlie Youakim,"I think it’s less about like a weakness sign. That’s why we have on Slide 15 at the bottom, controlled expansion, optimized top line growth with no deterioration in Sezzle’s core customers. We wanted to provide that kind of proxy for delinquencies because we’re not seeing any deterioration. And if you saw customers spending too much, like needing the product, you’d see a deterioration. I think the reason we’re seeing increased utilization from our existing customers or customers in our business is because we’re providing better products than our competitors. I think we’re providing products that are stickier. The customers like it. They like our product. They like using it. And so instead of using a competitive product out there, they’re preferring to come back to ours. I think that’s really the key. Because I think, Nico, I think you’d see deterioration if they were weakened financially and just coming to us because they needed it is, I guess, the point.",Alarmed
"Tempus AI, Inc.",TEM,NASDAQ,2024-11-09,Eric Lefkofsky,"I mean, so we told when we went public, which was just five months ago, we told folks that we were on a disciplined path to get to EBITDA positive that we wouldn’t – that we were looking to basically take the gross profit dollar growth we were generating and produced some leverage so that our losses were declining instead of what some other folks in our space have done, which is either kind of just maintain high loss levels or actually go the other way and invest more. We felt that was prudent given that we’re going to turn 10 next year, and we just thought given our size and scale being sustainable and not burning money was an important milestone. We haven’t yet determined how we want to harvest profits. So I think what I can safely say is, especially with this acquisition, we’ve crossed that hurdle. We’ve kind of checked that box. We’re now on an annualized basis, an EBITDA positive, cash flow positive sustainable business, but we need to think a little bit about how we want to harvest the EBITDA we’re going to generate relative to invest in the future, and I wouldn’t – I don’t – I think we’re more focused in the next several years on making sure we can sustain our growth rate, not trying to generate an extra $50 million of EBITDA in a given year. So I think you’ll, I think, see us make those trade-offs but we’re still disciplined and we want to run a good business. And so I think hopefully we’ll find the right balance.",Alarmed
"Cryoport, Inc.",CYRX,NASDAQ,2024-11-09,Puneet Souda,"Okay. That's helpful. My question is really, look, when we look at the last couple of quarters, your weakness has continued across the industry. Unfortunately, Cryoport has missed as a result. Just given the backdrop today, can you just help us understand why you're continuing to reiterate the guide at this point? And what can you provide us about 2025 at this point?",Alarmed
"Gray Media, Inc.",GTN,NYSE,2024-11-08,Bill Matthews,"Hi, great. Thank you for taking the question. Many of my questions have been answered. When I kind of wanted to circle back on some of the comments that you've made in terms of the sub-losses, a huge concern beyond your control. The political spending and predicting races very difficult to predict. And then the cost saves of $60 million what's clearly in your control, common dividend and the dividend of the preferred. You've had a previous person, who is an equity holder voice that it would be helpful for the equity to reduce your debt. So, is there a conversation in the boardroom? Is there a voice in the boardroom that is advocating to take that $80 million and even pause it for a year until you get your leverage down?",Alarmed
"Calumet, Inc.",CLMT,NASDAQ,2024-11-08,Bruce Fleming,"Hey, Adam. Bruce. So the volume outlook is we're not concerned about it. Montana Renewables sits in the middle of a really large production area for these kinds of feedstocks. There's a lot of diversity. And we're actually dynamically optimizing as those feed classes move around relative to each other. So then you come to the price. And in a way, the view that we have is all of these feeds over a reasonable short timescale are going to be arbitraged based upon their carbon intensity. So the prices will be different. But if I focus you on margin, the margin add is not as differentiated as the price. As a margin add business, we're floating on the flat price. So the secular decline for two years now in the flat price, everybody's written that down. That does show up on a lot of balance sheets. And we have talked in the past on this call about gains or losses from short-term price movements. But in the long run, we don't think that's a structural concern for the industry.",Alarmed
Qiagen N.V.,QGEN,NYSE,2024-11-07,Doug Schenkel,"So your stock has been stuck in a range for years. You've been underperforming the group and the market for a while. You're clearly not being rewarded for increasingly solid execution. This was a good quarter and it's not the first one this year. So with that in mind and keeping in mind the stock trades a material discount to probably anything I can plausibly see you acquiring. I know you said you're going to return $1 billion to shareholders by 2028. We're aware of what you said at the Capital Markets Day and again, what you're saying today. I guess my question is like why not get going now? Like what are you waiting for? If you believe in your LRP, if you remain confident that competitive concerns are really just noise and it sure seems like you do. Why not bet on yourself and get more aggressive with the buyback as quickly as possible at this valuation?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Gerard Cassidy,"Mark, regarding the comments you made about the higher credit losses, the three factors that you gave us, can you also talk about if this was a factor at all for you folks? Was there any FICO score inflation back during the pandemic that might be playing into these kind of credit losses? And as part of the credit card question, you mentioned the CFPB, the fees that you have factored them, the lower fees, you factor that into your forward look, where do we stand on that? Do you guys have any color on that as well?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Matt O'Connor,"Hi. Apologies if I missed it in the opening remarks, but what drove the decline in credit card revenues from 1Q to 2Q? It looks like they were down about 6% in aggregate even though average loans went up, spending went up. What was the driver of that?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Saul Martinez,"Second question on, I just want to follow-up on USPB. I mean, I still -- I get the point that you're seeing normalization in losses in cards, but even if I adjust for reserve builds, your RoTCE is still single-digit. I would think even at these NCL levels, your cards business is pretty profitable. You're a scale player. I mean, you're above sort of pre-pandemic levels, but not -- I don't know if I -- it doesn't seem like it's that much higher by a dramatic amount. It would seem to imply that the retail bank is a huge drag on profitability even maybe even losing money, I don't know. But can you just talk about what you can do to sort of improve the retail bank profitability and just give any more color that you can in terms of the path to get to that high-teen RoTCE that you talked about?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Mike Mayo,"Yeah, just to say -- real short follow-up to that. So you're doing all this great stuff, but you still fell short. Just in, like, one sentence, despite doing all this great stuff that you described, the regulators still said you didn't get it done. Why after doing all that, didn't you get that it done in the eyes of the regulators and why won't be fixed now? Just like a one-sentence explanation for that if you have it?",Alarmed
