company,ticker,exchange,date,analyst_name,question,label
Dell Technologies Inc.,DELL,NYSE,2024-11-26,Toni Sacconaghi,"Yes, thank you. I'm just wondering I think last quarter you were the midpoint of your guidance for the year was $97 billion. Now the midpoint is $96.1 billion. And I'm wondering what has changed in terms of coming up weaker than your expectations, especially in light of the fact that it sounds like the AI pipeline is really strong. I think last quarter you said it was multiples of backlog, which would have put it at $11 billion to $13 billion. And you said it grew 50% sequentially. So are we looking at a backlog that's a pipeline, excuse me, that's like $16 billion or $17 billion. And why is that not informing a more optimistic view for Q4 than what you had 90 days ago? Thank you.",Alarmed
The J. M. Smucker Company,SJM,NYSE,2024-11-26,Robert Moskow,"Hi, thanks. I had a couple of questions about Hostess. One is, Mark, you mentioned that execution weakened. Can you give us a little more details on what aspect of that weakened and what caused it and how you can fix it? And then secondly, a broader question, I appreciate the plans to market Hostess more aggressively in first quarter '25, but are there any concerns internally about whether it might get drowned out? There's a lot of messaging from the new administration on Make America Healthy Again. I'm just wondering, is this the right time to be aggressively marketing indulgent snacks, and how do you think the consumer will receive it?",Alarmed
Elastic N.V.,ESTC,NYSE,2024-11-21,Howard Ma,"Great. Thank you. My question is for Janesh and/or Eric. So it sounds like you did not make up for the Q1 shortfall in customer commits in Q2, despite the bounce back. But when you factor in the acceleration in consumption trends, it sounds like maybe you were back on track with your revenue targets before the cut last quarter, and that you're just being a bit conservative with your back half assumptions. Is that true? Or maybe just asked another way, had you known you would achieve the Q2 performance that you did, both commits and consumption, would you still have lowered your full year guide last quarter?",Alarmed
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Katherine Griffin,Hi. Thank you. This is Katherine Griffin on for Sara. We wanted to ask to what extent would you attribute the softer performance in the quarter to the demand backdrop in California versus your own sort of share loss or relative underperformance? Thank you.,Alarmed
Jack in the Box Inc.,JACK,NASDAQ,2024-11-20,Katherine Griffin,"No problem. I'll repeat it. Yeah, I just wanted to -- just trying to figure out the -- to what extent was the softer performance in the quarter a function of the broader demand backdrop in California versus your own share loss and relative underperformance?",Alarmed
Spire Inc.,SR,NYSE,2024-11-20,Bill Appicelli,"Hi, good morning, and congrats to Steve and Adam. I echo everyone else's sentiments there. Just wanted to dig into the, I guess, the Q4 results a bit. You guys had guided down full year earnings last quarter and then you came in a little bit light of the lowered expectations for the full-year. So I guess what happened there? Was it -- was it gas marketing? Was that -- I think you had modified that outlook to $27 million to $31 million for the full-year and you came in at $23 million. So was that what fell short of expectations in Q4 or can you share a little more color on that, please?",Alarmed
ZIM Integrated Shipping Services Ltd.,ZIM,NYSE,2024-11-20,Alexia Dogani,"Yes, hi, good afternoon. I had two questions. Just firstly very good to hear kind of the positive outlook that gives you the confidence to give some incremental special dividend near-term. What held you back from reversing the impairment you took last year? Because I believe that the impairment was driven by the kind of outlook of the market. Could you not reconsider that decision now that you suggest kind of things have improved more underlying? So that's my first question. And then secondly, can you just clarify, Xavier, what percent of your capacity is on this kind of smaller, less efficient vessels that could potentially come out in '25 should the market kind of turn out weaker? And then if I actually can ask one more. What are you hearing from your customers near-term? I mean is there scope for further inventory buildup into the first half of 2025 or kind of the duration kind of constrained the timing benefit of arriving in the US in the next couple of weeks? Thanks.",Alarmed
"Mitsubishi UFJ Financial Group, Inc.",MUFG,NYSE,2024-11-18,Ken Matsuda,"I am Matsuda from Daiwa Securities. I have two questions. First is about gain on sales of equity holdings and second is about your thinking behind this year's earnings. Regarding the first question, gain on sales, on Page 3 on FY'24 plans, looking at net operating profits and ordinary profits vis-a-vis initial targets, there seems to be positive $350 billion below net operating profits. Is this mostly gain on sales of equity holdings? In addition, if we look at the bar chart for this year, we can see that gain on sales of equity holdings are greater than the impact of the portfolio restructuring. But if larger gains on sale of equity holdings are included in the plan for this year, how should we think of the baseline for a gain on sales of equity holdings from next year onwards? My second question is on this year's profits. I think the macroeconomic environment is favorable due to the weak yen, and the FX assumption for the second half is JPY140. If profits are likely to be higher, thanks to the macro environment, are there any items that you can cut losses on? For example, I apologize for talking about other banks, but some banks have a recorded a lump sum provision for loss on interest repayment. Your group also has a subsidiary, ACOM. And I would like to know if you are considering similar costs for interest repayment or items where you can cut losses?",Alarmed
Grupo Aval Acciones y Valores S.A.,AVAL,NYSE,2024-11-14,Daniel Mora,"Hi, good morning and thank you for the presentation. I have three questions from our side. I would like to understand the first one. We have struck a clear downward trend in the consumer segment, but the commercial segment continues deteriorating. Why is the commercial segment taking longer than expected when compared to the consumer one? And I would like to understand if there is a particular sector showing even a more challenging scenario and when do you expect to see an improvement in this segment? That will be my first question. The second one is regarding NIM. I would like to understand if you can provide a further color regarding the NIM with and without the trading income. What was the strategy taken during this quarter that showed a strong improvement in the NIM of investment and should we consider this to be a one-off or can we expect a better performance going forward? And the last one in this question is can you repeat the guidance of the NIM for 2024 and 2025? Thank you so much. And the last one is regarding the loan program with the government. Can you repeat how much you have disbursed under this program and what are the conditions of these loans? Do they have a guarantee attached or a subsidy of interest rates? Thank you so much.",Alarmed
"Advance Auto Parts, Inc.",AAP,NYSE,2024-11-14,Unidentified Analyst,"That's helpful. Thank you. And then, just as a follow-up, so with the business comping down low single-digits, is this industry weakness or share loss and maybe it's a little bit of both? And can you help us think about the path back to positive territory moving forward?",Alarmed
Nu Holdings Ltd.,NU,NYSE,2024-11-13,Henrique Navarro,"Hi, thanks for the opportunity to make a question. I would like to do a follow up on the question on the growth mismatch between provisions and loans. I understand the rationale. You're changing the credit mix adding more secure personal loans. But my question is, if we look forward, the macro environment has been deteriorating. We have a higher estimates, et cetera. And under the expected credit loss provisioning model, we need to consider the macro environment to do our calculations. So my question is, what is the rationale for this behavior between provisions and loans? I mean, is there a risk that eventually you may need to reinforce provisions ahead? That's it. Thank you.",Alarmed
StoneCo Ltd.,STNE,NASDAQ,2024-11-12,Mario Pierry,"Hey, guys. Good evening. Congratulations on the quarter. I wanted to explore a little bit more exactly on the take rate and I think you answered part of that question -- in the previous question. But basically when we look at your MSMB take rates right like you were running at 2.58%, you were guiding for 2.49%. The mix has been weaker than expected given PIX. So why is your take rate higher than what you were expecting? Is it because you already started to implement higher prices for your clients? You said a lot, right, that the competitive environment is very rational or is it because the banking product is more profitable for you?",Alarmed
"Cryoport, Inc.",CYRX,NASDAQ,2024-11-09,Puneet Souda,"Okay. That's helpful. My question is really, look, when we look at the last couple of quarters, your weakness has continued across the industry. Unfortunately, Cryoport has missed as a result. Just given the backdrop today, can you just help us understand why you're continuing to reiterate the guide at this point? And what can you provide us about 2025 at this point?",Alarmed
"Gray Media, Inc.",GTN,NYSE,2024-11-08,Bill Matthews,"Hi, great. Thank you for taking the question. Many of my questions have been answered. When I kind of wanted to circle back on some of the comments that you've made in terms of the sub-losses, a huge concern beyond your control. The political spending and predicting races very difficult to predict. And then the cost saves of $60 million what's clearly in your control, common dividend and the dividend of the preferred. You've had a previous person, who is an equity holder voice that it would be helpful for the equity to reduce your debt. So, is there a conversation in the boardroom? Is there a voice in the boardroom that is advocating to take that $80 million and even pause it for a year until you get your leverage down?",Alarmed
Qiagen N.V.,QGEN,NYSE,2024-11-07,Doug Schenkel,"So your stock has been stuck in a range for years. You've been underperforming the group and the market for a while. You're clearly not being rewarded for increasingly solid execution. This was a good quarter and it's not the first one this year. So with that in mind and keeping in mind the stock trades a material discount to probably anything I can plausibly see you acquiring. I know you said you're going to return $1 billion to shareholders by 2028. We're aware of what you said at the Capital Markets Day and again, what you're saying today. I guess my question is like why not get going now? Like what are you waiting for? If you believe in your LRP, if you remain confident that competitive concerns are really just noise and it sure seems like you do. Why not bet on yourself and get more aggressive with the buyback as quickly as possible at this valuation?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Gerard Cassidy,"Mark, regarding the comments you made about the higher credit losses, the three factors that you gave us, can you also talk about if this was a factor at all for you folks? Was there any FICO score inflation back during the pandemic that might be playing into these kind of credit losses? And as part of the credit card question, you mentioned the CFPB, the fees that you have factored them, the lower fees, you factor that into your forward look, where do we stand on that? Do you guys have any color on that as well?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Matt O'Connor,"Hi. Apologies if I missed it in the opening remarks, but what drove the decline in credit card revenues from 1Q to 2Q? It looks like they were down about 6% in aggregate even though average loans went up, spending went up. What was the driver of that?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Saul Martinez,"Second question on, I just want to follow-up on USPB. I mean, I still -- I get the point that you're seeing normalization in losses in cards, but even if I adjust for reserve builds, your RoTCE is still single-digit. I would think even at these NCL levels, your cards business is pretty profitable. You're a scale player. I mean, you're above sort of pre-pandemic levels, but not -- I don't know if I -- it doesn't seem like it's that much higher by a dramatic amount. It would seem to imply that the retail bank is a huge drag on profitability even maybe even losing money, I don't know. But can you just talk about what you can do to sort of improve the retail bank profitability and just give any more color that you can in terms of the path to get to that high-teen RoTCE that you talked about?",Alarmed
Citigroup Inc.,C,NYSE,2024-07-12,Mike Mayo,"Yeah, just to say -- real short follow-up to that. So you're doing all this great stuff, but you still fell short. Just in, like, one sentence, despite doing all this great stuff that you described, the regulators still said you didn't get it done. Why after doing all that, didn't you get that it done in the eyes of the regulators and why won't be fixed now? Just like a one-sentence explanation for that if you have it?",Alarmed
Wells Fargo & Company,WFC,NYSE,2024-07-12,Erika Najarian,"Hi. Good morning. First, I just want to put context to this question, because I didn't want to ask it just in isolation because it seems ticky-tacky, but it's not. So the stock is down 7.5%, and if I just take consensus to the higher end of your NII range to 9%, that would imply that consensus would adjust 3.5% in isolation. So this is just a context of why I'm asking this question on expenses. So your expenses went up in terms of from your original guide, $1.4 billion. I guess and you laid out those three bullets and you quantified FDIC special assessment. I guess, I'm just wondering, if you could give us a little bit more detail on how much more of the remediation expenses and op losses were up versus your original expectation because I think what the market wants to understand is, PP - you know, NII, okay, we get it, that's happening because of deposit repricing. But is core - you know, are the - is core PPNR outside of that in turn going up, right? Just sort of want to have that assurance in terms of is the EPS going to be down as much coming out of this as the market is indicating.",Alarmed
Wells Fargo & Company,WFC,NYSE,2024-07-12,Erika Najarian,"Got it. Okay, that makes sense. And just maybe some comments on how you're thinking about credit quality from here. It looks like you continue to release reserves in the second quarter. Is this a message that you feel like you've captured most of the CRE-related issues, of course, absent of a further deterioration in the economy, and how should we think about the trajectory of the reserves from here relative to your charge-offs?",Alarmed
Wells Fargo & Company,WFC,NYSE,2024-07-12,Matt O'Connor,"Okay. And then just a separate topic here. I mean, the credit card growth has been very good. You highlighted rolling out some new products. And the question as always, when you - anybody growth kind of so much in a certain category, you mentioned not growing too quickly, the loss rates have gone up maybe a little more than some peers, not as much as some others, obviously in line with what you were targeting. There was that negative Wall Street Journal article on one of your cards. So just kind of taken together, what kind of checks and balances you have to make sure that a somewhat new initiative for you that you're growing at the right pace? Thank you.",Alarmed
Telefonaktiebolaget LM Ericsson (publ),ERIC,NASDAQ,2024-07-12,Felix Henriksson,"Hi. Thanks for taking my question. I wanted to touch on the game plan for Vonage and the global communications platform. You now have the write-down under your belt, organic growth being negative and the business is loss making. So just wanted to hear your thoughts about the timeline. So, when do you have to achieve profitable growth in this business area to be somewhat satisfied with the acquisition here?",Alarmed
Telefonaktiebolaget LM Ericsson (publ),ERIC,NASDAQ,2024-07-12,Richard Kramer,"Thanks very much. Borje, I want to go back to Vonage, and given the further write-downs, which are now over SEK4 billion, I want to ask you, who's ultimately accountable for this level of value destruction and sort of what conclusions should investors draw that the management has learned lessons from this level of losses, which, I mean, it's really the largest we've seen since shortly after you arrived in 2017. And maybe alongside that with Lars, do you need to adjust your EBITA targets, given that they had been changed from EBIT to EBITA to include the larger amortization post-Vonage, and now you'll obviously have much lower amortization? Thanks.",Alarmed
Fastenal Company,FAST,NASDAQ,2024-07-12,Ryan Merkel,"Hey, guys. Thanks for taking the questions. I just have one as well, and it's on the macro. So can you just level set us on the macro, is it fair that the industrial economy has just slowed sort of slightly versus 1Q or is it more pronounced? That's the first part of the question. And then I'm hearing that it could stay a little weak until after the election. I know that's crystal ball stuff, but what do you think about that?",Alarmed
AZZ Inc.,AZZ,NYSE,2024-07-11,Stephen Volkmann,"Hi. Good morning, guys. Thank you. And maybe just sort of pull on the same thread a little bit. I'm just curious, as you think about your end market exposures, are there any -- it doesn't sound like this, David, but are there any end markets out there that are kind of choppy and giving you some concern for the rest of the year? Maybe there was some inventory stock or destock that we should keep in mind? Just anything that would keep you kind of conservative on the top line outlook?",Alarmed
"PriceSmart, Inc.",PSMT,NASDAQ,2024-07-11,Jon Braatz,"Most recently, the Colombian currency has weakened quite a bit, and I don't know if it will continue or not. But have you seen any change in consumer behavior in Colombia, and have you made any changes in pricing, like you did maybe a year-and-a-half ago, or is it too soon to do something like that?",Alarmed
"Delta Air Lines, Inc.",DAL,NYSE,2024-07-11,Ravi Shanker,"Understood. That's great color. And maybe a follow-up on the previous discussion on the premiumization of the industry. Kind of as the lower-cost carriers push towards premium, I just wanted to kind of clarify your comments. Are you saying that there is more opportunity for you guys to kind of push up kind of as the bottom comes up? And kind of do you have a sense of how high you can go? Or I mean, there is also some concern that as others premiumize, there is going to be more competition for a fixed set of premium demand. How do you see that playing out?",Alarmed
"Conagra Brands, Inc.",CAG,NYSE,2024-07-11,Rob Dickerson,"Got it. Fair enough. And then just maybe quickly for Dave. I normally don't ask about impairments, but clearly called out this quarter and I think that some have been called out previously. While I understand changes in rates, what have you, like are there certain areas that we should just be aware of or certain brands that maybe have been driving a bit more of those impairments? And that's all. Thank you.",Alarmed
"Bassett Furniture Industries, Incorporated",BSET,NASDAQ,2024-07-11,Budd Bugatch,"And so, what would be -- what with the losses, is it still in that low-20%s or mid-20%s kind of range? Is that about where it works out?",Alarmed
"PepsiCo, Inc.",PEP,NASDAQ,2024-07-11,Peter Grom,"Thanks, operator. Good morning, everyone. So I was hoping to get some color on Latin America. Organic revenue was the weakest we've seen in some time here, and I think in the prepared remarks Brazil and Mexico seems solid. So just curious, kind of what drove the weakness in the quarter? And then, Ramon, just as we look ahead, you mentioned you still expect strong growth from international in the back half of the year. How does Latin America fit into that equation? Would you anticipate improvement, or should we expect more muted performance to continue? Thanks.",Alarmed
Northern Technologies International Corporation,NTIC,NASDAQ,2024-07-11,Gus Richard,"Yes, thanks for taking the questions. Just on ZERUST Industrial, that was down year-over-year. Is that a function of the weakness in Germany, or is there an end market exposure that's causing that to be down year-over-year?",Alarmed
"E2open Parent Holdings, Inc.",ETWO,NYSE,2024-07-11,Chris Quintero,"Hey, everyone, thanks for taking our questions here. I wanted to ask about the deal closure delays. It's great to see almost half of those already closed in June, but just curious to hear your thoughts and expectations for the rest of the year. Do you think these delays will continue throughout the year? Or do you think it was more of a one-time impact given Q1 is always a seasonally weak quarter?",Alarmed
"E2open Parent Holdings, Inc.",ETWO,NYSE,2024-07-11,Mark Schappel,"Hi, thank you for taking my question. Greg, in response to an earlier question around the slipped deals, you noted that you don't expect the deal delays to be an issue going forward. Just wondering if you could just provide additional color around what gives you this confidence. Was it because of slipped deals or just more of an internal execution issue rather than a macro concern? Maybe just provide additional color around that.",Alarmed
Saratoga Investment Corp,SAR,NYSE,2024-07-10,Unidentified Analyst,"Thank you. Good morning everyone. Maybe first a follow-up on the fact that there were no new investment commitments in the quarter, and you mentioned that you didn't meet your standard. I was curious if you could provide a little coverage – little color to that in terms of leverage spread, covenants. And I'm curious at all it's all reflective of -- at all reflective of some weakening in the economy? Or are you seeing some potentially sectors that you are just wanting to avoid more? So I'm wondering if you could provide some on thoughts there.",Alarmed
Helen of Troy Limited,HELE,NASDAQ,2024-07-09,Susan Anderson,"Okay, got it. Yeah, that's helpful. And then maybe just in beauty, a follow-up there. You talked about softer consumer demand, I believe, in both tools and liquids now, which -- that's the first time I think I've heard you guys talk about it in liquids. So, it seemed like last quarter it was still -- the category was strong and, Noel, I think you mentioned too that, hair liquids is still a pretty strong industry. So I'm curious, I guess, how much of the softness you're seeing is industry wide versus maybe some other share losses with your brands there? And then just on Curlsmith, I guess, when do you expect those disruptions to be fixed? Thanks.",Alarmed
"Constellation Brands, Inc.",STZ,NYSE,2024-07-03,Bryan Spillane,"Okay, thanks. And then just a follow up on some of the earlier conversations. Bill, the stock is down today because I think there's a concern about the tough comparisons in beer, maybe a little bit of election concern because of how the stock reacted when Trump was elected in 2016. So could you just give us a first -- or a perspective on how you think about the comps? I mean, the comps were the comps when you set your plan. So it's not like they're a surprise. So if you can give us a perspective on that and whether or not people should actually even be worried about the election and who wins or loses relative to FTC? It's a different…",Alarmed
"Simulations Plus, Inc.",SLP,NASDAQ,2024-07-02,David Larsen,"Hi. Congrats on the revenue beat relative to our model this quarter. Can you maybe just clarify with the EPS guide, was that changed on an apples-to-apples basis relative to the June 12th commentary? Because I had thought that in fiscal 2Q, we were at $0.66 to $0.68, and then on June 12th, it declined by about $0.12 to $0.54 to $0.56 because of the lower interest income and the transaction costs. And now we're at, I think it's $0.46 to $0.48 GAAP, $0.54 to $0.56 adjusted. But if the $0.54 to $0.56 is adjusted and we're adding back the transaction costs, just -- was the EPS guide lowered or not? Just how are you thinking about that, please? Thank you.",Alarmed
"Radius Recycling, Inc.",RDUS,NASDAQ,2024-07-02,Martin Englert,The reported export ferrous price seemed a bit weak relative to the benchmark indices in the quarter? Can you maybe touch on in some more detail the markets you were selling into if you feel like you had to sell at maybe more competitive prices versus the benchmarks on average to secure volumes across the assets?,Alarmed
"MSC Industrial Direct Co., Inc.",MSM,NYSE,2024-07-02,Kenneth Newman,"Good morning. I just wanted to circle back to the sequentially stable ADS guide from 3Q to 4Q. Just to clarify, Erik, I mean, you did highlight some of the deterioration that we're seeing in the macro, whether it's ISM or this the MBI here earlier this week. What gives you confidence in that guide kind of being stable from 3Q to 4Q given some of those macro deterioration, is that primarily just reflecting the web price issues being fixed or is there something else there?",Alarmed
Polestar Automotive Holding UK PLC,PSNY,NASDAQ,2024-07-02,Tobias Beith,"All right. Understood. And proportionately, volume of Polestar 4 was twice impactful in the first quarter than it was in the fourth quarter of last year. But the gross margin before impairments seems to have remained negative. Are you able to discuss this for me and outline how it turns profitable?",Alarmed
"Winnebago Industries, Inc.",WGO,NYSE,2024-12-20,Fred Wightman,"Hey, guys. Good morning. I just wanted to contextualize the guidance. So, if we think about the first quarter, it came in below street numbers. It sounds like 2Q numbers need to come down based on Bryan's commentary, but the full-year is unchanged, right? So, did the street just have numbers wrong? Has the first-half been a little bit weaker than you guys sort of thought, but you're encouraged by some of those green shoots that Mike just mentioned? How should we sort of evaluate the setup of the year versus how you thought it would shape up at the start?",Alarmed
BlackBerry Limited,BB,NYSE,2024-12-19,Daniel Chan,You mentioned that IoT's strength this quarter was partly driven by higher royalties. How do we reconcile the royalty strength relative to the weak macro backdrop?,Alarmed
FedEx Corporation,FDX,NYSE,2024-12-19,Scott Group,"Hey, thanks. Good afternoon. John, you said a couple of times that the post office headwind is bigger than the Cyber Week tailwind, but there's a lot more moving parts. And so maybe can you just clarify what you're trying to communicate around Q3 expectations? And then on the LTL spend, I just want to understand a couple of things. Why is it 18 months seems so long? And then as we do our math, is there any way to just think about if there's much, if any of the corporate unallocated costs that we should apply to LTL?",Alarmed
Scholastic Corporation,SCHL,NASDAQ,2024-12-19,Brendan McCarthy,"Great. Good afternoon, everybody. Thanks for taking my questions. I just wanted to start out at the segment margin level, specifically the Entertainment segment. Wonder if you could walk us through some of the dynamics and factors that drive margins in that new Entertainment segment and what kind of drove segment operating loss for this recent quarter?",Alarmed
